#Simulated generalized assessment 
# 
#start/end year 
1 57 
#number of ages 
25 
#ages 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
#Number of length bins 
25 
#CPUE years 
57 
#years for CPUE 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 
#survey years 
57 
#years for survey 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 
#length freq from catch years 
57 
#years for length freq catch 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 
#catch length sample sizes 
200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 
#length freq from survey years 
57 
#years for length freq survey 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 
#survey sample sizes 
200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 
#total survey biomass 
2368134 3597010 5287693 2512153 2304425 3017921 2403259 2030573 1585312 1722891 1933147 1249613 1175679 1049815 1074040 882700.6 780533 499605.8 528900.4 859477.7 355354.4 430690.8 427556.8 660700.1 572531.8 460035.6 533482.6 524079 588111.4 510428.1 516729.3 460711.3 839129.4 604269.3 612060.7 665349 521294.4 722068.5 406098.8 477757.7 566431 481605.3 431678.3 639034.2 654586.3 698562.6 461302.2 549821.9 576811.8 748856.1 916006.1 427413.9 493295.6 434509.4 446420.9 896968.4 689860.2 
#survey CV 
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 
#total CPUE 
2828482 3778093 3468483 3422185 2901099 2430780 1710789 1901683 1643284 2561672 1398302 1244180 1262979 875011.2 925299.4 725056.7 663008.7 511426.3 693692.5 809051.2 704494.7 549486.1 561659.2 500944.9 537673.2 442020.5 482178.6 543814.8 492698.9 409656.6 643241.1 645422.1 430294.6 723061.6 417426.3 588133.2 441111.6 604824.4 413237.2 757115.3 929684.9 510984.6 534268.4 513563.7 593422.4 563508.6 505539.5 609315.7 468932 637855.1 385015.8 602467.9 721912 638227.5 503133.6 572189 692963 
#CPUE CV 
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 
#total catch biomass 
0 94017.95 156603 215635.6 265106.7 282901.8 290884.1 330777.9 289058.6 312029.6 294593.2 293215.9 246289.2 247021.2 240384.1 226441 180233.1 165479.1 155234 134287.1 140942.5 117668.8 116054.2 116859.8 107082.4 110035.6 100136.3 101181.9 99532.14 99695.45 93843.38 89347.12 90087.04 105146.8 100955.3 89901.77 90392.55 100160.9 83839.44 93009.01 81808.78 86867.91 91137.73 88237.02 87159.4 89617.71 87109.12 95966.57 90115.11 85823.46 123821.1 103200.6 67752.87 104133.5 84664.79 64937.64 123381.6 
#catch CV 
0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
#Length Bins 
2.752644 8.257932 13.76322 19.26851 24.7738 30.27908 35.78437 41.28966 46.79495 52.30024 57.80552 63.31081 68.8161 74.32139 79.82667 85.33196 90.83725 96.34254 101.8478 107.3531 112.8584 118.3637 123.869 129.3743 134.8796 
#catch length counts 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
35.17773 57.42787 87.21419 125.1132 171.4242 225.5585 285.4653 347.8038 408.8185 465.203 514.513 555.315 587.3018 611.2725 628.8376 641.9256 652.1979 660.2971 664.8617 661.6374 643.5956 603.0255 535.4916 443.7013 338.4032 
58.33139 95.15141 144.3455 206.7729 282.8044 371.32 468.7815 569.5601 667.4388 757.0762 834.6777 898.1821 947.3755 983.7962 1010.213 1029.812 1045.265 1057.553 1064.426 1059.004 1029.982 964.9797 856.8732 709.9771 541.4798 
81.31273 132.538 200.848 287.311 392.2716 513.9578 647.2024 783.9347 915.3363 1033.953 1134.681 1215.028 1275.217 1317.952 1347.569 1368.808 1385.491 1398.978 1406.195 1397.878 1358.918 1272.821 1130.066 936.2652 714.0344 
105.5469 172.0318 260.6532 372.7102 508.4678 665.3238 836.168 1010.097 1175.318 1321.978 1443.48 1536.826 1602.748 1645.381 1671.1 1686.8 1698.06 1707.119 1710.441 1696.674 1647.193 1541.644 1368.16 1133.27 864.174 
128.3919 209.1291 316.5824 452.1891 616.1034 804.9687 1009.903 1217.343 1412.578 1583.25 1721.054 1822.257 1887.924 1923.533 1937.524 1939.151 1936.185 1932.419 1924.781 1900.962 1840.075 1718.989 1523.897 1261.501 961.6355 
144.9433 235.9698 356.9552 509.3481 693.0779 904.0488 1131.9 1361.023 1574.619 1758.662 1903.751 2005.621 2065.367 2089.112 2086.514 2068.484 2044.68 2020.741 1995.097 1956.312 1883.605 1753.298 1550.748 1281.956 976.4419 
166.809 271.5008 410.5426 585.4615 795.9435 1036.933 1296.079 1554.976 1793.95 1996.699 2152.45 2256.453 2310.118 2320.512 2298.664 2257.092 2207.24 2156.664 2105.662 2044.286 1952.527 1806.665 1591.439 1312.117 997.7682 
185.7362 302.1797 456.6602 650.7037 883.7184 1149.763 1434.714 1717.691 1976.447 2192.627 2354.206 2456.035 2499.915 2493.92 2450.387 2383.164 2304.979 2224.801 2144.705 2056.931 1943.77 1783.322 1561.037 1281.443 971.6118 
202.228 328.8434 496.5995 706.9401 958.9305 1245.753 1551.65 1853.544 2126.985 2351.931 2515.402 2612.004 2643.92 2620.104 2554.025 2460.66 2353.76 2243.394 2133.189 2017.725 1882.34 1708.15 1482.39 1209.132 912.647 
217.4512 353.5033 533.6157 759.1543 1028.815 1334.844 1659.798 1978.385 2264.017 2495.113 2657.96 2747.16 2765.479 2722.845 2633.831 2514.419 2379.196 2239.096 2099.076 1955.952 1798.267 1610.613 1382.591 1118.159 838.6239 
230.0064 373.7329 563.7743 801.3568 1084.821 1405.634 1744.974 2075.725 2369.472 2603.271 2762.734 2842.502 2845.996 2784.205 2672.86 2528.901 2367.593 2200.474 2033.525 1865.552 1688.224 1489.754 1262.384 1010.161 751.359 
239.9184 389.8622 588.102 835.8012 1130.957 1464.204 1815.308 2155.404 2454.482 2688.571 2842.92 2912.369 2900.975 2820.652 2688.168 2521.385 2336.259 2144.909 1954.191 1764.612 1570.616 1363.746 1138.768 899.8906 662.5377 
